Total.Cup.Points
81.83
84.5
81.42
83.17
84.25
83.67
84.67
81.5
83.17
84.25
83.5
83.75
83.75
88.08
84.58
81.17
83.83
80.17
79.75
81.83
83.5
83.33
80.67
81.0
83.33
83.17
84.67
81.58
83.5
81.67
78.0
83.08
84.5
78.5
83.33
79.58
82.67
72.92
83.0
81.83
81.5
83.75
85.0
81.42
80.92
81.75
82.67
84.58
83.08
74.75
81.5
81.67
83.08
82.42
81.5
81.25
79.17
78.67
83.75
83.33
81.83
80.17
69.17
77.17
82.67
80.92
84.42
83.83
73.67
80.08
83.83
81.5
83.5
83.58
83.17
81.33
85.08
82.25
83.25
83.0
81.5
82.92
82.17
80.58
83.83
83.83
81.67
76.17
82.75
83.92
83.67
83.58
82.33
85.75
82.08
76.33
82.75
81.42
78.33
81.75
83.67
81.67
82.75
82.83
78.75
81.0
82.42
81.92
82.0
82.25
83.67
83.08
83.67
80.83
85.25
84.67
82.17
82.17
84.42
82.75
83.92
78.42
82.5
80.25
81.0
83.67
83.5
84.67
83.42
83.83
80.33
82.92
84.67
67.92
82.67
79.0
84.67
79.5
80.75
84.17
83.08
83.83
83.67
82.58
83.33
83.67
82.75
83.0
75.58
82.42
77.92
81.92
83.25
82.17
81.92
81.5
81.67
74.33
82.33
82.75
80.92
82.75
82.33
83.67
81.42
82.08
78.17
80.75
83.17
86.17
86.58
84.0
82.33
81.08
84.67
83.75
80.08
81.92
82.67
79.25
82.67
80.58
82.92
89.0
84.92
81.67
79.75
72.58
80.92
82.58
80.17
83.42
82.75
83.17
82.83
83.67
83.17
83.17
80.33
83.67
79.5
80.75
88.83
85.0
83.25
82.08
81.83
81.17
82.33
83.25
81.0
82.75
82.67
80.5
83.08
84.17
82.42
82.58
81.0
71.0
85.5
81.0
85.5
83.0
84.17
87.92
82.67
79.33
83.75
82.83
80.17
81.42
78.92
81.92
82.08
79.58
76.0
81.08
78.83
79.17
79.92
79.67
77.42
83.5
82.42
79.67
82.0
83.92
82.83
83.5
89.75
88.75
83.75
83.25
81.75
84.17
82.92
86.83
81.5
80.25
82.92
81.33
82.17
82.42
84.0
86.92
83.58
86.0
84.92
81.08
85.83
82.58
84.17
84.75
81.67
80.08
85.42
82.67
86.08
81.17
83.0
81.08
82.33
77.33
82.92
83.17
82.5
79.75
81.0
85.75
85.08
82.83
84.25
83.83
83.5
83.0
82.5
82.67
84.33
84.92
78.58
81.92
84.25
80.83
76.08
82.92
82.0
82.33
82.42
79.5
84.33
84.67
83.5
85.33
80.33
81.17
82.92
82.75
83.08
84.5
84.0
83.75
81.42
78.25
83.67
85.0
81.67
79.75
81.0
81.42
81.83
79.08
80.92
78.58
83.75
80.25
83.42
84.08
81.0
81.08
83.75
81.33
80.33
84.0
81.42
81.5
85.42
85.08
82.42
86.33
81.33
83.17
83.17
80.92
78.75
81.5
85.33
85.25
81.92
85.33
83.17
82.08
81.5
83.25
82.33
80.5
83.33
79.58
82.25
82.0
85.0
82.67
82.5
82.25
85.58
83.83
82.0
84.08
84.17
84.58
77.5
83.42
84.83
81.0
84.0
73.83
88.25
83.17
84.0
82.75
83.42
82.17
80.5
82.83
83.17
78.0
84.58
83.0
78.0
82.92
84.42
73.5
81.5
81.75
82.33
80.17
88.67
79.25
82.5
80.75
83.5
83.67
81.08
80.83
81.42
83.92
80.67
83.5
80.25
82.25
80.83
83.0
81.0
81.58
81.5
75.58
83.17
82.92
81.58
84.17
81.83
84.17
71.08
84.17
85.33
84.58
81.75
82.42
80.75
81.67
82.33
84.67
81.25
83.33
81.92
83.0
80.58
83.0
80.75
83.58
83.42
90.58
83.5
76.17
83.08
79.75
80.17
81.17
80.58
81.83
84.42
83.17
84.67
82.08
82.92
82.33
85.08
72.83
84.33
82.0
83.25
84.0
85.5
84.67
83.75
79.75
83.67
59.83
81.17
83.0
81.92
83.5
83.0
77.83
83.58
83.25
84.5
86.67
83.0
84.25
74.0
80.42
84.5
81.67
82.5
84.42
83.0
0.0
79.83
83.08
85.42
80.0
82.75
81.33
82.5
84.08
82.25
84.17
84.5
84.67
74.67
81.58
80.25
84.33
86.17
82.42
84.92
86.25
82.83
78.58
79.92
74.33
83.08
83.17
87.08
82.0
81.83
81.5
79.92
83.5
83.0
79.33
83.42
82.25
82.33
79.0
83.17
83.92
81.42
84.08
83.17
83.33
81.5
84.42
87.25
79.42
81.67
80.92
78.08
82.75
85.75
83.92
80.42
77.0
83.83
80.75
82.42
83.5
78.08
86.25
82.25
80.92
82.5
81.33
79.42
82.92
77.33
82.42
82.25
84.25
83.17
83.38
82.42
82.17
82.5
82.33
83.25
83.42
83.33
85.42
77.33
80.67
83.0
81.92
81.08
82.67
84.92
83.25
82.75
82.67
74.75
85.08
81.83
80.92
74.83
82.17
83.0
80.58
80.5
80.58
87.92
83.33
79.83
82.92
86.17
81.83
84.5
83.25
82.75
81.83
83.92
81.0
83.25
82.42
82.92
77.25
82.42
82.42
79.33
81.83
83.75
84.5
80.5
84.0
80.75
83.58
76.83
87.58
83.0
83.67
82.17
82.67
79.33
81.17
81.5
84.17
84.33
81.33
85.0
81.83
82.17
83.0
82.17
87.17
83.5
82.25
80.17
78.0
82.67
79.83
83.58
83.25
81.25
84.17
81.5
84.25
80.42
80.33
85.08
81.08
85.5
77.83
83.83
82.42
85.25
83.25
80.58
84.58
85.33
79.67
75.08
82.08
82.75
83.17
82.33
84.33
83.92
80.0
81.67
84.08
83.08
73.42
82.83
84.83
82.58
78.75
82.0
82.25
83.0
82.58
81.17
70.75
81.5
78.58
84.67
82.0
81.83
84.83
83.17
82.25
79.92
81.33
85.83
82.67
82.08
81.83
84.83
82.5
80.5
82.5
85.0
82.58
83.5
83.92
82.5
81.92
81.42
81.92
81.67
86.0
83.58
79.75
81.67
82.08
84.25
85.0
88.83
82.67
82.83
85.92
83.92
80.25
78.5
83.17
79.0
82.08
81.83
79.08
82.42
83.75
83.58
80.67
83.75
84.58
84.75
79.17
82.83
82.42
82.5
86.0
80.33
81.25
82.33
82.0
81.83
83.5
74.42
84.67
83.17
81.17
82.5
83.33
83.0
83.67
87.25
82.42
86.25
81.58
81.92
79.0
83.33
81.5
82.92
82.17
84.0
82.08
83.08
84.58
81.25
81.83
82.67
82.42
82.83
75.17
87.33
84.67
81.5
81.08
83.0
84.33
81.0
63.08
82.67
84.33
83.75
83.0
79.67
80.0
80.17
83.0
83.08
84.58
87.42
82.92
82.5
80.25
80.92
80.0
81.25
76.5
83.83
82.0
84.17
86.92
83.25
70.67
84.17
86.25
82.25
80.67
83.17
79.75
82.75
82.42
78.25
82.58
77.67
80.08
78.58
82.0
84.5
81.25
81.92
79.83
81.67
81.5
84.58
78.33
83.0
80.0
85.0
82.75
79.17
85.92
84.58
83.33
84.25
76.17
88.42
80.92
80.5
83.17
84.0
81.58
79.5
81.67
76.25
82.67
83.58
79.75
83.92
84.58
83.17
82.58
81.42
76.42
82.92
81.42
83.08
78.75
84.58
83.33
81.33
77.17
82.5
83.17
84.33
82.67
84.67
82.25
81.08
84.25
81.67
83.83
83.83
78.58
83.33
84.75
84.25
81.83
84.0
75.67
76.75
79.67
83.42
81.75
84.17
82.58
89.92
84.92
82.42
75.0
81.33
79.33
78.75
83.17
79.75
82.5
78.33
83.67
82.58
82.33
81.17
82.67
82.58
68.33
78.0
82.0
82.58
80.92
82.83
82.42
82.75
80.08
79.17
83.0
80.58
82.92
79.0
82.25
78.0
83.08
85.08
80.92
82.83
82.25
81.75
81.58
80.75
84.25
83.42
82.0
81.67
83.33
82.17
78.33
80.83
82.58
82.67
81.25
82.33
82.42
85.0
82.0
83.33
83.0
80.42
80.58
81.42
82.08
84.25
84.67
80.67
86.17
80.92
84.17
83.42
83.83
83.25
83.42
82.75
79.5
80.25
82.58
79.67
83.0
85.58
87.83
79.17
80.5
83.08
83.42
84.33
82.17
84.17
82.0
80.42
81.67
83.58
82.33
83.75
80.92
83.17
81.92
83.92
81.0
84.25
84.5
82.33
83.33
82.33
79.92
82.83
80.92
80.83
80.17
84.25
86.25
82.08
83.0
82.5
85.08
81.58
82.83
82.08
84.0
87.92
83.67
82.75
83.42
84.5
81.83
87.25
82.58
79.67
81.83
75.5
82.83
69.17
82.42
81.25
84.33
81.17
82.42
83.0
80.33
83.17
81.75
82.25
84.0
87.17
83.17
79.08
83.83
81.33
78.42
83.42
82.0
83.58
82.17
84.67
81.67
79.92
85.17
83.67
77.83
83.17
84.75
80.67
80.25
79.92
69.33
81.75
79.92
